day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-03-20,38762,3223,172,2621,49,2367,360,175,221469,19481,342,68.02,0,0,0,0,0,0,0,0.0316,0.0046,569,43023,18,197,91,11
2020-03-21,39958,3033,100,1800,40,1783,480,167,216473,17827,325,64.49,0,0,0,0,0,0,0,0.0254,0.0046,472,37111,12,171,223,8
2020-03-22,38184,2886,73,1253,31,1532,424,104,207413,16804,325,64.67,0,0,0,0,0,0,0,0.0351,0.0032,342,34231,12,108,248,3
2020-03-23,35215,2962,45,1203,27,1626,421,99,187155,16972,318,63.27,0,0,0,0,0,0,0,0.0317,0.0036,347,32725,11,117,309,5
2020-03-24,53888,4626,69,1550,43,2410,483,172,289142,25999,321,63.88,0,0,0,0,0,0,0,0.0297,0.0034000000000000002,438,45245,13,155,571,12
2020-03-25,59491,5367,81,1504,47,2667,542,187,314149,29344,316,62.86000000000001,0,0,0,0,0,0,0,0.015300000000000001,0.0037,457,47019,7,172,609,8
2020-03-26,60872,5629,75,1445,58,2758,550,177,317839,30463,313,62.16,0,0,0,0,0,0,0,0.0176,0.0025,340,45568,6,112,587,5
2020-03-27,41924,3904,46,1019,29,2261,497,179,209809,20986,300,59.58,0,0,0,0,0,0,0,0.0258,0.0034000000000000002,349,34185,9,115,435,8
2020-03-28,27530,2617,29,622,35,1485,469,118,135332,13704,294,58.52,0,0,0,0,0,0,0,0.0173,0.0040999999999999995,231,22931,4,94,300,5
2020-03-29,16337,1492,32,449,9,972,404,73,78665,7790,288,57.32000000000001,0,0,0,0,0,0,0,0.0222,0.004,180,14346,4,57,203,7
2020-03-30,9037,821,11,244,11,492,281,48,44289,4390,294,58.34,0,0,0,0,0,0,0,0.0649,0.0028000000000000004,77,8339,5,23,102,3
2020-03-31,5825,546,6,183,3,333,228,33,29221,2924,300,59.72,0,0,0,0,0,0,0,0.059699999999999996,0.0038,67,5784,4,22,64,1
2020-04-01,3112,278,3,96,6,157,201,18,15971,1506,307,61.1,0,0,0,0,0,0,0,0.0455,0.0029,22,3067,1,9,43,1
2020-04-02,2149,165,5,56,2,93,146,9,10980,920,306,60.83,0,0,0,0,0,0,0,0.0,0.0015,18,1976,0,3,27,1
2020-04-03,1501,119,1,54,1,73,126,10,7689,652,307,60.980000000000004,0,0,0,0,0,0,0,0.037000000000000005,0.011399999999999999,27,1407,1,16,12,1
2020-04-04,1374,99,2,57,1,42,131,5,6926,519,302,60.02000000000001,0,0,0,0,0,0,0,0.0556,0.0038,18,1308,1,5,12,1
2020-04-05,1432,143,0,48,1,61,117,5,7369,831,308,61.27,0,0,0,0,0,0,0,0.0,0.0059,18,1350,0,8,15,1
2020-04-06,1444,138,3,54,1,65,91,7,7625,767,316,62.86999999999999,0,0,0,0,0,0,0,0.07139999999999999,0.0063,28,1596,2,10,13,1
2020-04-07,1497,150,2,31,0,61,87,10,7816,822,313,62.16,0,0,0,0,0,0,0,0.0,0.0054,21,1484,0,8,10,0
2020-04-08,1366,128,2,53,0,53,94,7,7289,729,320,63.53,0,0,0,0,0,0,0,0.0,0.0033,15,1528,0,5,16,0
2020-04-09,1604,151,4,60,1,77,83,6,8131,823,304,60.35,0,0,0,0,0,0,0,0.0,0.0043,24,1618,0,7,11,0
2020-04-10,1332,146,0,46,0,52,82,2,6904,761,311,61.71,0,0,0,0,0,0,0,0.15380000000000002,0.0044,13,1371,2,6,16,0
2020-04-11,1360,121,1,49,1,59,67,5,6821,612,300,59.72,0,0,0,0,0,0,0,0.0625,0.0086,16,1275,1,11,13,0
2020-04-12,1282,126,1,28,0,48,68,4,6398,668,299,59.42000000000001,0,0,0,0,0,0,0,0.0455,0.0053,22,1316,1,7,15,2
2020-04-13,1098,100,1,33,0,39,68,3,5407,565,295,58.63,0,0,0,0,0,0,0,0.0,0.004699999999999999,18,1063,0,5,11,0
2020-04-14,1057,95,2,44,0,39,55,9,5365,478,304,60.42999999999999,0,0,0,0,0,0,0,0.0645,0.0091,31,1100,2,10,15,1
2020-04-15,1181,94,3,43,0,45,55,2,6274,590,318,63.24999999999999,0,0,0,0,0,0,0,0.0,0.0038,15,1314,0,5,12,1
2020-04-16,1238,125,1,37,1,46,41,10,6651,720,322,63.96000000000001,0,0,0,0,0,0,0,0.0,0.0036,24,1401,0,5,13,1
2020-04-17,1528,134,5,50,1,49,41,8,7556,668,296,58.87,0,0,0,0,0,0,0,0.16670000000000001,0.0066,30,1526,5,10,20,1
2020-04-18,1034,96,2,31,1,26,48,6,5371,528,311,61.84,0,0,0,0,0,0,0,0.07690000000000001,0.005600000000000001,13,1063,1,6,3,1
2020-04-19,1019,100,1,30,2,31,54,2,5436,561,320,63.51,0,0,0,0,0,0,0,0.1176,0.0085,17,1171,2,10,9,0
2020-04-20,1253,106,0,44,1,35,42,4,6611,588,316,62.82,0,0,0,0,0,0,0,0.0,0.0042,18,1412,0,6,10,1
2020-04-21,1053,96,2,34,0,33,44,3,5712,524,325,64.58,0,0,0,0,0,0,0,0.0,0.0073,15,1237,0,9,14,0
2020-04-22,797,83,1,18,0,33,59,2,4366,456,328,65.23,0,0,0,0,0,0,0,0.04,0.008,25,871,1,7,11,1
2020-04-23,704,59,1,25,1,28,42,3,3651,362,311,61.74000000000001,0,0,0,0,0,0,0,0.0,0.0027,6,751,0,2,5,0
2020-04-24,1378,92,2,41,0,23,36,3,6478,539,282,55.97,0,0,0,0,0,0,0,0.07690000000000001,0.006,13,1166,1,7,13,0
2020-04-25,1885,189,1,69,0,76,48,2,10417,1065,331,65.79,0,0,0,0,0,0,0,0.05,0.0066,40,2121,2,14,16,0
2020-04-26,2012,183,8,81,5,64,46,7,10991,1045,327,65.03,0,0,0,0,0,0,0,0.05,0.0089,60,2359,3,21,19,1
2020-04-27,1981,165,0,68,2,68,54,8,10599,894,321,63.7,0,0,0,0,0,0,0,0.0,0.0053,36,2254,0,12,16,0
2020-04-28,1746,157,0,59,0,66,39,4,9227,874,317,62.91,0,0,0,0,0,0,0,0.09380000000000001,0.0058,32,1906,3,11,18,0
2020-04-29,1543,149,3,48,1,54,55,1,8156,800,317,62.93,0,0,0,0,0,0,0,0.0,0.0013,9,1591,0,2,21,0
2020-04-30,1122,89,2,26,2,31,30,5,5767,449,308,61.19,0,0,0,0,0,0,0,0.0645,0.005699999999999999,31,1222,2,7,8,0
2020-05-01,1156,96,1,42,2,51,37,2,5963,541,309,61.419999999999995,0,0,0,0,0,0,0,0.1,0.005600000000000001,20,1249,2,7,9,1
2020-05-02,1009,74,0,33,2,29,29,2,5275,465,313,62.25000000000001,0,0,0,0,0,0,0,0.0,0.005600000000000001,15,1077,0,6,10,0
2020-05-03,1062,91,1,38,1,34,42,4,5652,486,319,63.35999999999999,0,0,0,0,0,0,0,0.0,0.0066,18,1211,0,8,9,0
2020-05-04,1042,86,7,35,0,46,31,1,5192,414,299,59.32999999999999,0,0,0,0,0,0,0,0.0,0.005,21,1002,0,5,13,0
2020-05-05,858,76,1,24,3,29,24,2,4507,403,315,62.53999999999999,0,0,0,0,0,0,0,0.037000000000000005,0.0083,27,967,1,8,13,1
2020-05-06,997,69,1,36,1,26,28,4,5137,385,309,61.34,0,0,0,0,0,0,0,0.07690000000000001,0.0063,13,953,1,6,7,0
2020-05-07,888,80,3,32,0,24,39,0,4679,441,316,62.73,0,0,0,0,0,0,0,0.087,0.008199999999999999,23,971,2,8,9,0
2020-05-08,1095,76,0,36,0,38,31,3,5874,474,321,63.86999999999999,0,0,0,0,0,0,0,0.0,0.0108,33,1115,0,12,17,1
2020-05-09,921,78,2,30,1,29,25,4,4958,486,323,64.09,0,0,0,0,0,0,0,0.0,0.0058,9,1030,0,6,11,0
2020-05-10,908,92,1,45,0,26,31,3,4780,490,315,62.67,0,0,0,0,0,0,0,0.07690000000000001,0.0084,26,954,2,8,10,0
2020-05-11,1029,82,0,43,1,30,30,0,5512,480,321,63.78,0,0,0,0,0,0,0,0.0,0.0064,18,1096,0,7,12,1
2020-05-12,1149,111,3,35,1,33,19,3,5683,524,296,58.879999999999995,0,0,0,0,0,0,0,0.060599999999999994,0.0096,33,1142,2,11,10,1
2020-05-13,940,73,0,27,0,22,22,4,5164,422,329,65.41,0,0,0,0,0,0,0,0.0323,0.0116,31,1037,1,12,10,0
2020-05-14,1030,90,3,38,1,26,22,4,5501,458,320,63.59,0,0,0,0,0,0,0,0.0,0.0045000000000000005,12,1118,0,5,6,0
2020-05-15,1363,115,1,54,0,39,23,3,7523,698,331,65.71,0,0,0,0,0,0,0,0.0323,0.0054,31,1484,1,8,15,0
2020-05-16,1373,134,5,44,3,47,40,3,7223,758,315,62.63000000000001,0,0,0,0,0,0,0,0.11109999999999999,0.0102,36,1471,4,15,12,0
2020-05-17,1818,157,5,69,1,60,27,8,9667,870,319,63.31,0,0,0,0,0,0,0,0.0417,0.006999999999999999,48,1866,2,13,14,0
2020-05-18,2368,215,7,104,2,78,36,7,13091,1265,331,65.82,0,0,0,0,0,0,0,0.0,0.006,39,2681,0,16,32,2
2020-05-19,2993,289,1,108,2,87,34,7,15975,1678,320,63.54,0,0,0,0,0,0,0,0.0313,0.0084,64,3325,2,28,30,0
2020-05-20,4226,363,2,132,2,124,32,12,23536,2058,334,66.3,0,0,0,0,0,0,0,0.0571,0.005600000000000001,70,4661,4,26,50,0
2020-05-21,6526,550,9,197,4,242,50,13,35266,3089,324,64.33,0,0,0,0,0,0,0,0.0504,0.0066,119,7249,6,48,65,0
2020-05-22,7059,630,14,229,4,249,53,10,37589,3500,319,63.39,0,0,0,0,0,0,0,0.030299999999999997,0.0069,132,7517,4,52,68,0
2020-05-23,8344,750,17,242,9,271,73,31,44932,4223,323,64.11,0,0,0,0,0,0,0,0.0481,0.0077,187,8727,9,67,115,1
2020-05-24,11569,1025,10,327,8,457,113,11,62674,5759,325,64.49,0,0,0,0,0,0,0,0.0507,0.0068000000000000005,217,12137,11,83,134,1
2020-05-25,9471,874,14,266,13,363,98,20,50607,4997,320,63.61,0,0,0,0,0,0,0,0.0197,0.005,152,9731,3,49,107,1
2020-05-26,12772,1238,20,390,15,564,150,43,66560,6846,312,62.03999999999999,0,0,0,0,0,0,0,0.0248,0.005600000000000001,202,12780,5,72,134,1
2020-05-27,17872,1785,20,509,11,895,171,44,90678,9648,304,60.4,0,0,0,0,0,0,0,0.0377,0.0052,239,16868,9,87,176,3
2020-05-28,11414,1007,16,275,8,493,147,32,58553,5491,307,61.07,0,0,0,0,0,0,0,0.0192,0.0048,156,10724,3,52,124,2
2020-05-29,14147,1353,22,380,9,710,166,34,69326,7248,294,58.34,0,0,0,0,0,0,0,0.0438,0.0037,160,12812,7,48,163,0
2020-05-30,12059,1032,10,305,5,585,135,32,57167,5209,284,56.44,0,0,0,0,0,0,0,0.031,0.0043,129,9962,4,43,129,1
2020-05-31,11584,912,13,295,10,561,166,45,53935,4570,279,55.43,0,0,0,0,0,0,0,0.0259,0.0040999999999999995,116,9900,3,41,129,1
2020-06-01,8668,690,10,188,5,453,116,32,40807,3582,282,56.05,0,0,0,0,0,0,0,0.0165,0.0058,121,7467,2,43,97,3
2020-06-02,5961,518,4,134,5,311,119,21,29360,2773,295,58.64,0,0,0,0,0,0,0,0.021099999999999997,0.006,95,5349,2,32,64,2
2020-06-03,3610,318,3,86,1,200,105,8,18058,1684,300,59.54999999999999,0,0,0,0,0,0,0,0.0,0.0034999999999999996,36,3148,0,11,25,2
2020-06-04,3417,277,1,83,0,147,91,13,16597,1376,291,57.830000000000005,0,0,0,0,0,0,0,0.030299999999999997,0.0034000000000000002,33,2980,1,10,41,0
2020-06-05,2644,186,4,59,0,104,72,6,12885,1025,292,58.02,0,0,0,0,0,0,0,0.0625,0.0052,32,2322,2,12,20,1
2020-06-06,2614,185,0,60,0,112,79,10,12766,977,293,58.14,0,0,0,0,0,0,0,0.048799999999999996,0.0058,41,2238,2,13,23,1
2020-06-07,2666,248,0,70,5,89,71,5,13502,1340,303,60.29,0,0,0,0,0,0,0,0.1739,0.008100000000000001,46,2468,8,20,27,0
2020-06-08,2187,169,4,51,3,76,65,7,10895,966,298,59.31000000000001,0,0,0,0,0,0,0,0.0645,0.0048,31,2089,2,10,23,1
2020-06-09,2422,187,3,68,2,104,62,2,12212,990,302,60.03000000000001,0,0,0,0,0,0,0,0.0588,0.005,51,2218,3,11,22,0
2020-06-10,1805,172,2,41,1,65,60,2,9375,935,311,61.84,0,0,0,0,0,0,0,0.037000000000000005,0.004699999999999999,27,1711,1,8,12,0
2020-06-11,1063,87,0,26,2,147,46,6,5372,445,303,60.17,0,0,0,0,0,0,0,0.0,0.0038,12,1045,0,4,5,0
2020-06-12,585,45,0,18,0,15,39,2,2919,199,299,59.42000000000001,0,0,0,0,0,0,0,0.0,0.0049,9,607,0,3,9,0
2020-06-13,496,42,0,13,0,16,38,2,2639,223,319,63.35999999999999,0,0,0,0,0,0,0,0.0833,0.0060999999999999995,12,488,1,3,2,0
2020-06-14,542,48,1,14,0,13,31,2,2909,273,322,63.9,0,0,0,0,0,0,0,0.0,0.0,0,577,0,0,4,0
2020-06-15,576,58,2,17,0,16,37,1,2899,272,302,59.92000000000001,0,0,0,0,0,0,0,0.0,0.0070999999999999995,12,562,0,4,6,0
2020-06-16,703,71,0,18,0,24,27,1,3621,434,309,61.33,0,0,0,0,0,0,0,0.0625,0.0096,16,730,1,7,4,0
2020-06-17,733,63,0,17,0,27,30,3,3758,360,307,61.04999999999999,0,0,0,0,0,0,0,0.0,0.0013,6,746,0,1,5,0
2020-06-18,698,53,1,23,2,25,30,3,3692,319,317,62.970000000000006,0,0,0,0,0,0,0,0.04,0.0092,25,763,1,7,5,0
2020-06-19,636,48,0,15,1,20,30,3,3428,333,323,64.17,0,0,0,0,0,0,0,0.0,0.005699999999999999,12,701,0,4,6,0
2020-06-20,645,53,2,13,0,20,20,1,3169,277,294,58.5,0,0,0,0,0,0,0,0.0,0.0033,9,609,0,2,13,0
2020-06-21,639,51,2,22,0,20,27,1,3242,268,304,60.42000000000001,0,0,0,0,0,0,0,0.1,0.0048,10,625,1,3,6,0
2020-06-22,575,51,0,16,2,11,38,4,3069,261,320,63.54,0,0,0,0,0,0,0,0.1429,0.0034000000000000002,7,596,1,2,3,0
2020-06-23,602,66,1,25,0,16,26,5,3253,398,324,64.35,0,0,0,0,0,0,0,0.0,0.0017000000000000001,3,601,0,1,5,0
2020-06-24,581,57,0,10,0,17,23,1,2943,331,303,60.309999999999995,0,0,0,0,0,0,0,0.0,0.0048,9,626,0,3,2,0
2020-06-25,534,42,0,20,0,17,21,1,2686,237,301,59.89,0,0,0,0,0,0,0,0.0,0.0019,3,519,0,1,4,0
2020-06-26,873,73,2,24,0,23,20,3,4620,416,317,63.01,0,0,0,0,0,0,0,0.0455,0.0127,22,947,1,12,9,0
2020-06-27,1043,88,0,16,1,41,31,6,5201,518,299,59.37,0,0,0,0,0,0,0,0.0,0.003,15,997,0,3,6,0
2020-06-28,1325,111,1,24,0,54,21,6,6880,590,311,61.82,0,0,0,0,0,0,0,0.1176,0.0038,17,1316,2,5,6,0
2020-06-29,1621,129,0,50,0,61,27,3,8348,715,309,61.309999999999995,0,0,0,0,0,0,0,0.035699999999999996,0.006,28,1676,1,10,17,1
2020-06-30,1605,139,0,41,0,51,34,2,8043,745,300,59.660000000000004,0,0,0,0,0,0,0,0.0556,0.0116,36,1634,2,19,14,0
2020-07-01,1885,144,6,47,4,73,25,4,9654,769,307,60.97,0,0,0,0,0,0,0,0.0,0.0052,42,1928,0,10,19,0
2020-07-02,2008,162,2,55,3,76,25,5,9917,911,296,58.8,0,0,0,0,0,0,0,0.0571,0.0072,35,1945,2,14,18,0
2020-07-03,1399,110,3,38,1,47,29,2,7043,603,302,59.93999999999999,0,0,0,0,0,0,0,0.0,0.0059,18,1364,0,8,8,1
2020-07-04,1233,108,2,32,1,39,24,1,6466,620,314,62.43,0,0,0,0,0,0,0,0.0,0.0064,15,1254,0,8,9,0
2020-07-05,1283,95,1,31,1,34,30,5,7030,538,328,65.23,0,0,0,0,0,0,0,0.0556,0.0044,18,1379,1,6,8,0
2020-07-06,1390,130,2,49,2,49,24,3,7174,699,309,61.44,0,0,0,0,0,0,0,0.0,0.0028000000000000004,12,1445,0,4,11,0
2020-07-07,1306,105,2,41,2,47,23,3,7051,631,323,64.28,0,0,0,0,0,0,0,0.05,0.0104,40,1442,2,15,12,0
2020-07-08,1330,131,2,45,0,45,26,2,7229,761,326,64.71,0,0,0,0,0,0,0,0.09380000000000001,0.0074,32,1482,3,11,12,0
2020-07-09,1441,130,1,57,0,51,31,3,7844,760,326,64.81,0,0,0,0,0,0,0,0.1176,0.0072,34,1664,4,12,14,0
2020-07-10,1257,103,0,45,0,27,23,3,6790,608,324,64.31,0,0,0,0,0,0,0,0.0667,0.0037,15,1337,1,5,10,0
2020-07-11,1358,111,1,48,2,41,31,3,7245,713,320,63.519999999999996,0,0,0,0,0,0,0,0.0625,0.0048,16,1452,1,7,9,0
2020-07-12,1759,191,2,52,2,58,33,4,9292,1151,316,62.89,0,0,0,0,0,0,0,0.0455,0.0072,44,1939,2,14,22,0
2020-07-13,1493,143,0,51,1,47,23,3,8148,828,327,64.97,0,0,0,0,0,0,0,0.0625,0.004699999999999999,16,1718,1,8,13,0
2020-07-14,1417,132,3,50,1,51,30,6,7549,755,319,63.43,0,0,0,0,0,0,0,0.0,0.0063,33,1581,0,10,14,0
2020-07-15,1254,105,0,43,2,46,28,3,6657,625,318,63.21,0,0,0,0,0,0,0,0.035699999999999996,0.0083,28,1325,1,11,12,0
2020-07-16,993,85,0,39,1,29,26,2,5176,508,312,62.06,0,0,0,0,0,0,0,0.0,0.0031,12,958,0,3,7,0
2020-07-17,883,81,2,22,0,29,16,1,4535,481,308,61.14000000000001,0,0,0,0,0,0,0,0.12,0.011699999999999999,25,939,3,11,8,0
2020-07-18,862,81,2,34,1,43,20,3,4783,461,332,66.06,0,0,0,0,0,0,0,0.04,0.0144,25,904,1,13,7,0
2020-07-19,823,57,0,29,0,31,28,4,4277,299,311,61.88,0,0,0,0,0,0,0,0.0,0.0149,24,808,0,12,11,0
2020-07-20,875,85,1,37,0,28,19,5,4419,451,303,60.13,0,0,0,0,0,0,0,0.07690000000000001,0.005600000000000001,13,888,1,5,4,0
2020-07-21,750,55,2,22,0,22,24,1,3944,335,315,62.61,0,0,0,0,0,0,0,0.07690000000000001,0.005,13,807,1,4,8,0
2020-07-22,687,48,1,16,0,23,21,6,3552,263,310,61.56,0,0,0,0,0,0,0,0.0625,0.0072,16,697,1,5,3,0
2020-07-23,539,50,2,17,0,20,28,1,2852,277,317,63.0,0,0,0,0,0,0,0,0.0,0.0037,6,537,0,2,5,0
2020-07-24,498,46,0,19,0,19,22,3,2619,301,315,62.62,0,0,0,0,0,0,0,0.0,0.0052,15,574,0,3,5,0
2020-07-25,622,63,0,20,1,16,15,4,3330,364,321,63.74999999999999,0,0,0,0,0,0,0,0.1429,0.014499999999999999,21,691,3,10,5,0
2020-07-26,619,63,0,23,0,17,25,5,3262,309,316,62.74999999999999,0,0,0,0,0,0,0,0.0,0.0085,12,702,0,6,6,0
2020-07-27,479,39,0,10,0,11,21,3,2443,215,306,60.73,0,0,0,0,0,0,0,0.1,0.0177,20,564,2,10,6,0
2020-07-28,531,49,0,18,0,13,15,2,3024,308,341,67.82,0,0,0,0,0,0,0,0.0556,0.0111,18,631,1,7,6,1
2020-07-29,431,38,0,10,0,17,19,2,2366,216,329,65.38,0,0,0,0,0,0,0,0.0,0.011399999999999999,9,526,0,6,3,0
2020-07-30,447,28,0,11,1,17,19,2,2244,186,301,59.77,0,0,0,0,0,0,0,0.087,0.0181,23,441,2,8,5,0
2020-07-31,370,32,0,9,0,10,18,2,1881,176,305,60.53000000000001,0,0,0,0,0,0,0,0.1,0.0074,10,404,1,3,3,0
2020-08-01,387,29,1,10,0,14,13,1,1950,189,302,59.99,0,0,0,0,0,0,0,0.0,0.011000000000000001,9,365,0,4,5,1
2020-08-02,507,45,1,15,1,13,19,2,2639,278,312,61.970000000000006,0,0,0,0,0,0,0,0.0,0.01,9,500,0,5,3,0
2020-08-03,457,27,0,13,1,9,17,3,2360,155,309,61.5,0,0,0,0,0,0,0,0.0,0.0,3,484,0,0,5,0
2020-08-04,414,43,0,10,0,12,13,1,2180,264,316,62.7,0,0,0,0,0,0,0,0.0,0.0022,3,464,0,1,4,0
2020-08-05,399,34,0,5,0,17,8,0,1745,223,262,52.07000000000001,0,0,0,0,0,0,0,0.0,0.0,3,355,0,0,2,0
2020-08-06,361,36,0,11,0,10,9,0,1758,232,292,57.99999999999999,0,0,0,0,0,0,0,0.0,0.0125,12,321,0,4,4,0
2020-08-07,357,29,0,7,0,11,13,2,1740,152,292,58.040000000000006,0,0,0,0,0,0,0,0.07690000000000001,0.0088,13,340,1,3,4,0
2020-08-08,397,38,1,9,1,15,13,3,1844,155,278,55.32,0,0,0,0,0,0,0,0.0,0.008,3,373,0,3,0,0
2020-08-09,435,38,0,8,1,18,15,3,1907,206,263,52.2,0,0,0,0,0,0,0,0.0,0.0115,15,348,0,4,3,0
2020-08-10,367,31,1,5,1,18,23,1,1618,142,264,52.5,0,0,0,0,0,0,0,0.07690000000000001,0.019,13,315,1,6,5,0
2020-08-11,365,21,1,14,0,13,15,2,1822,135,299,59.45,0,0,0,0,0,0,0,0.0,0.0131,9,382,0,5,0,0
2020-08-12,470,36,0,19,0,15,15,0,2286,175,291,57.92,0,0,0,0,0,0,0,0.0,0.0,0,465,0,0,5,0
2020-08-13,375,31,0,6,0,18,13,1,1802,171,288,57.22999999999999,0,0,0,0,0,0,0,0.0,0.0,3,342,0,0,2,0
2020-08-14,352,31,1,13,0,14,16,1,1706,176,290,57.72999999999999,0,0,0,0,0,0,0,0.0,0.0029,3,341,0,1,0,0
2020-08-15,365,35,0,10,0,18,8,2,1968,196,323,64.21,0,0,0,0,0,0,0,0.0,0.0053,6,375,0,2,1,0
2020-08-16,470,44,0,17,0,17,13,4,2308,262,294,58.46,0,0,0,0,0,0,0,0.0,0.0102,15,491,0,5,1,0
2020-08-17,451,41,0,7,0,9,15,1,2315,258,308,61.13000000000001,0,0,0,0,0,0,0,0.0,0.0088,12,457,0,4,5,0
2020-08-18,384,31,0,16,0,19,17,3,1962,186,306,60.83,0,0,0,0,0,0,0,0.0,0.0078000000000000005,9,383,0,3,2,0
2020-08-19,364,29,1,4,0,11,13,2,1835,171,302,60.03000000000001,0,0,0,0,0,0,0,0.0,0.0053,3,376,0,2,4,0
2020-08-20,382,36,0,16,1,12,12,3,1913,222,300,59.64,0,0,0,0,0,0,0,0.0,0.0027,3,374,0,1,3,0
