videoID,day,likes
lGzvd1mMbkk,2020-12-18,1
lGzvd1mMbkk,2020-12-19,0
lGzvd1mMbkk,2020-12-20,2
lGzvd1mMbkk,2020-12-21,1
lGzvd1mMbkk,2020-12-22,1
lGzvd1mMbkk,2020-12-23,1
lGzvd1mMbkk,2020-12-24,1
lGzvd1mMbkk,2020-12-25,1
lGzvd1mMbkk,2020-12-26,1
lGzvd1mMbkk,2020-12-27,1
lGzvd1mMbkk,2020-12-28,1
lGzvd1mMbkk,2020-12-29,2
lGzvd1mMbkk,2020-12-30,1
lGzvd1mMbkk,2020-12-31,1
lGzvd1mMbkk,2021-01-01,2
lGzvd1mMbkk,2021-01-02,-1
lGzvd1mMbkk,2021-01-03,0
lGzvd1mMbkk,2021-01-04,0
lGzvd1mMbkk,2021-01-05,2
lGzvd1mMbkk,2021-01-06,1
lGzvd1mMbkk,2021-01-07,0
lGzvd1mMbkk,2021-01-08,2
lGzvd1mMbkk,2021-01-09,2
lGzvd1mMbkk,2021-01-10,2
lGzvd1mMbkk,2021-01-11,1
lGzvd1mMbkk,2021-01-12,1
lGzvd1mMbkk,2021-01-13,0
lGzvd1mMbkk,2021-01-14,2
lGzvd1mMbkk,2021-01-15,0
lGzvd1mMbkk,2021-01-16,0
lGzvd1mMbkk,2021-01-17,0
lGzvd1mMbkk,2021-01-18,1
lGzvd1mMbkk,2021-01-19,1
lGzvd1mMbkk,2021-01-20,4
lGzvd1mMbkk,2021-01-21,0
lGzvd1mMbkk,2021-01-22,-2
lGzvd1mMbkk,2021-01-23,0
lGzvd1mMbkk,2021-01-24,1
lGzvd1mMbkk,2021-01-25,0
lGzvd1mMbkk,2021-01-26,0
lGzvd1mMbkk,2021-01-27,0
lGzvd1mMbkk,2021-01-28,2
lGzvd1mMbkk,2021-01-29,0
lGzvd1mMbkk,2021-01-30,1
lGzvd1mMbkk,2021-01-31,2
lGzvd1mMbkk,2021-02-01,1
lGzvd1mMbkk,2021-02-02,0
lGzvd1mMbkk,2021-02-03,0
lGzvd1mMbkk,2021-02-04,2
lGzvd1mMbkk,2021-02-05,0
lGzvd1mMbkk,2021-02-06,2
lGzvd1mMbkk,2021-02-07,0
lGzvd1mMbkk,2021-02-08,2
lGzvd1mMbkk,2021-02-09,1
lGzvd1mMbkk,2021-02-10,1
lGzvd1mMbkk,2021-02-11,4
lGzvd1mMbkk,2021-02-12,0
lGzvd1mMbkk,2021-02-13,3
lGzvd1mMbkk,2021-02-14,1
lGzvd1mMbkk,2021-02-15,3
lGzvd1mMbkk,2021-02-16,0
lGzvd1mMbkk,2021-02-17,3
lGzvd1mMbkk,2021-02-18,2
lGzvd1mMbkk,2021-02-19,1
lGzvd1mMbkk,2021-02-20,3
lGzvd1mMbkk,2021-02-21,8
lGzvd1mMbkk,2021-02-22,4
lGzvd1mMbkk,2021-02-23,2
lGzvd1mMbkk,2021-02-24,1
lGzvd1mMbkk,2021-02-25,3
lGzvd1mMbkk,2021-02-26,1
lGzvd1mMbkk,2021-02-27,5
lGzvd1mMbkk,2021-02-28,-1
lGzvd1mMbkk,2021-03-01,3
lGzvd1mMbkk,2021-03-02,5
lGzvd1mMbkk,2021-03-03,2
lGzvd1mMbkk,2021-03-04,2
lGzvd1mMbkk,2021-03-05,3
lGzvd1mMbkk,2021-03-06,4
lGzvd1mMbkk,2021-03-07,0
lGzvd1mMbkk,2021-03-08,3
lGzvd1mMbkk,2021-03-09,4
lGzvd1mMbkk,2021-03-10,3
lGzvd1mMbkk,2021-03-11,2
lGzvd1mMbkk,2021-03-12,2
lGzvd1mMbkk,2021-03-13,1
lGzvd1mMbkk,2021-03-14,1
lGzvd1mMbkk,2021-03-15,2
lGzvd1mMbkk,2021-03-16,2
lGzvd1mMbkk,2021-03-17,1
lGzvd1mMbkk,2021-03-18,1
lGzvd1mMbkk,2021-03-19,0
lGzvd1mMbkk,2021-03-20,2
lGzvd1mMbkk,2021-03-21,0
lGzvd1mMbkk,2021-03-22,1
lGzvd1mMbkk,2021-03-23,0
lGzvd1mMbkk,2021-03-24,2
lGzvd1mMbkk,2021-03-25,0
lGzvd1mMbkk,2021-03-26,0
lGzvd1mMbkk,2021-03-27,1
lGzvd1mMbkk,2021-03-28,0
lGzvd1mMbkk,2021-03-29,1
lGzvd1mMbkk,2021-03-30,0
lGzvd1mMbkk,2021-03-31,0
lGzvd1mMbkk,2021-04-01,0
lGzvd1mMbkk,2021-04-02,0
lGzvd1mMbkk,2021-04-03,0
lGzvd1mMbkk,2021-04-04,2
lGzvd1mMbkk,2021-04-05,1
lGzvd1mMbkk,2021-04-06,0
lGzvd1mMbkk,2021-04-07,0
lGzvd1mMbkk,2021-04-08,0
lGzvd1mMbkk,2021-04-09,0
lGzvd1mMbkk,2021-04-10,0
lGzvd1mMbkk,2021-04-11,0
lGzvd1mMbkk,2021-04-12,0
lGzvd1mMbkk,2021-04-13,1
lGzvd1mMbkk,2021-04-14,0
lGzvd1mMbkk,2021-04-15,1
lGzvd1mMbkk,2021-04-16,0
lGzvd1mMbkk,2021-04-17,3
lGzvd1mMbkk,2021-04-18,1
lGzvd1mMbkk,2021-04-19,0
lGzvd1mMbkk,2021-04-20,0
lGzvd1mMbkk,2021-04-21,0
lGzvd1mMbkk,2021-04-22,2
lGzvd1mMbkk,2021-04-23,2
lGzvd1mMbkk,2021-04-24,1
lGzvd1mMbkk,2021-04-25,0
lGzvd1mMbkk,2021-04-26,0
lGzvd1mMbkk,2021-04-27,0
lGzvd1mMbkk,2021-04-28,0
lGzvd1mMbkk,2021-04-29,0
lGzvd1mMbkk,2021-04-30,0
lGzvd1mMbkk,2021-05-01,0
lGzvd1mMbkk,2021-05-02,1
lGzvd1mMbkk,2021-05-03,0
lGzvd1mMbkk,2021-05-04,2
lGzvd1mMbkk,2021-05-05,1
lGzvd1mMbkk,2021-05-06,0
lGzvd1mMbkk,2021-05-07,1
lGzvd1mMbkk,2021-05-08,2
lGzvd1mMbkk,2021-05-09,2
lGzvd1mMbkk,2021-05-10,0
lGzvd1mMbkk,2021-05-11,0
lGzvd1mMbkk,2021-05-12,0
lGzvd1mMbkk,2021-05-13,2
lGzvd1mMbkk,2021-05-14,2
lGzvd1mMbkk,2021-05-15,2
lGzvd1mMbkk,2021-05-16,0
lGzvd1mMbkk,2021-05-17,2
lGzvd1mMbkk,2021-05-18,1
lGzvd1mMbkk,2021-05-19,2
lGzvd1mMbkk,2021-05-20,0
lGzvd1mMbkk,2021-05-21,1
lGzvd1mMbkk,2021-05-22,4
lGzvd1mMbkk,2021-05-23,0
lGzvd1mMbkk,2021-05-24,1
lGzvd1mMbkk,2021-05-25,1
lGzvd1mMbkk,2021-05-26,0
lGzvd1mMbkk,2021-05-27,0
lGzvd1mMbkk,2021-05-28,0
lGzvd1mMbkk,2021-05-29,0
lGzvd1mMbkk,2021-05-30,1
lGzvd1mMbkk,2021-05-31,2
lGzvd1mMbkk,2021-06-01,0
lGzvd1mMbkk,2021-06-02,1
lGzvd1mMbkk,2021-06-03,0
lGzvd1mMbkk,2021-06-04,0
lGzvd1mMbkk,2021-06-05,0
lGzvd1mMbkk,2021-06-06,1
lGzvd1mMbkk,2021-06-07,1
lGzvd1mMbkk,2021-06-08,2
lGzvd1mMbkk,2021-06-09,2
lGzvd1mMbkk,2021-06-10,1
lGzvd1mMbkk,2021-06-11,0
lGzvd1mMbkk,2021-06-12,1
lGzvd1mMbkk,2021-06-13,3
lGzvd1mMbkk,2021-06-14,1
lGzvd1mMbkk,2021-06-15,0
lGzvd1mMbkk,2021-06-16,1
lGzvd1mMbkk,2021-06-17,0
lGzvd1mMbkk,2021-06-18,2
lGzvd1mMbkk,2021-06-19,0
lGzvd1mMbkk,2021-06-20,2
lGzvd1mMbkk,2021-06-21,0
lGzvd1mMbkk,2021-06-22,0
lGzvd1mMbkk,2021-06-23,1
lGzvd1mMbkk,2021-06-24,2
lGzvd1mMbkk,2021-06-25,2
lGzvd1mMbkk,2021-06-26,1
lGzvd1mMbkk,2021-06-27,2
lGzvd1mMbkk,2021-06-28,2
lGzvd1mMbkk,2021-06-29,0
lGzvd1mMbkk,2021-06-30,1
lGzvd1mMbkk,2021-07-01,0
lGzvd1mMbkk,2021-07-02,1
lGzvd1mMbkk,2021-07-03,0
lGzvd1mMbkk,2021-07-04,1
lGzvd1mMbkk,2021-07-05,1
lGzvd1mMbkk,2021-07-06,1
lGzvd1mMbkk,2021-07-07,0
lGzvd1mMbkk,2021-07-08,2
lGzvd1mMbkk,2021-07-09,1
lGzvd1mMbkk,2021-07-10,2
lGzvd1mMbkk,2021-07-11,2
lGzvd1mMbkk,2021-07-12,0
lGzvd1mMbkk,2021-07-13,0
lGzvd1mMbkk,2021-07-14,0
lGzvd1mMbkk,2021-07-15,2
lGzvd1mMbkk,2021-07-16,0
lGzvd1mMbkk,2021-07-17,1
lGzvd1mMbkk,2021-07-18,0
lGzvd1mMbkk,2021-07-19,4
lGzvd1mMbkk,2021-07-20,1
lGzvd1mMbkk,2021-07-21,0
lGzvd1mMbkk,2021-07-22,0
lGzvd1mMbkk,2021-07-23,1
lGzvd1mMbkk,2021-07-24,0
lGzvd1mMbkk,2021-07-25,4
lGzvd1mMbkk,2021-07-26,4
lGzvd1mMbkk,2021-07-27,1
lGzvd1mMbkk,2021-07-28,4
lGzvd1mMbkk,2021-07-29,0
lGzvd1mMbkk,2021-07-30,0
lGzvd1mMbkk,2021-07-31,0
lGzvd1mMbkk,2021-08-01,1
lGzvd1mMbkk,2021-08-02,2
lGzvd1mMbkk,2021-08-03,0
lGzvd1mMbkk,2021-08-04,1
lGzvd1mMbkk,2021-08-05,1
lGzvd1mMbkk,2021-08-06,0
lGzvd1mMbkk,2021-08-07,1
lGzvd1mMbkk,2021-08-08,0
lGzvd1mMbkk,2021-08-09,1
lGzvd1mMbkk,2021-08-10,0
lGzvd1mMbkk,2021-08-11,0
lGzvd1mMbkk,2021-08-12,1
lGzvd1mMbkk,2021-08-13,1
lGzvd1mMbkk,2021-08-14,1
lGzvd1mMbkk,2021-08-15,0
lGzvd1mMbkk,2021-08-16,0
lGzvd1mMbkk,2021-08-17,0
lGzvd1mMbkk,2021-08-18,1
lGzvd1mMbkk,2021-08-19,0
lGzvd1mMbkk,2021-08-20,3
lGzvd1mMbkk,2021-08-21,1
lGzvd1mMbkk,2021-08-22,0
lGzvd1mMbkk,2021-08-23,1
lGzvd1mMbkk,2021-08-24,1
lGzvd1mMbkk,2021-08-25,1
lGzvd1mMbkk,2021-08-26,3
lGzvd1mMbkk,2021-08-27,0
lGzvd1mMbkk,2021-08-28,1
lGzvd1mMbkk,2021-08-29,0
lGzvd1mMbkk,2021-08-30,0
lGzvd1mMbkk,2021-08-31,1
lGzvd1mMbkk,2021-09-01,2
lGzvd1mMbkk,2021-09-02,1
lGzvd1mMbkk,2021-09-03,1
lGzvd1mMbkk,2021-09-04,3
lGzvd1mMbkk,2021-09-05,0
lGzvd1mMbkk,2021-09-06,2
lGzvd1mMbkk,2021-09-07,3
lGzvd1mMbkk,2021-09-08,0
lGzvd1mMbkk,2021-09-09,0
lGzvd1mMbkk,2021-09-10,0
lGzvd1mMbkk,2021-09-11,0
lGzvd1mMbkk,2021-09-12,0
lGzvd1mMbkk,2021-09-13,0
lGzvd1mMbkk,2021-09-14,0
lGzvd1mMbkk,2021-09-15,0
lGzvd1mMbkk,2021-09-16,0
lGzvd1mMbkk,2021-09-17,0
lGzvd1mMbkk,2021-09-18,1
lGzvd1mMbkk,2021-09-19,2
lGzvd1mMbkk,2021-09-20,2
lGzvd1mMbkk,2021-09-21,2
lGzvd1mMbkk,2021-09-22,0
lGzvd1mMbkk,2021-09-23,1
lGzvd1mMbkk,2021-09-24,2
lGzvd1mMbkk,2021-09-25,1
lGzvd1mMbkk,2021-09-26,0
lGzvd1mMbkk,2021-09-27,1
lGzvd1mMbkk,2021-09-28,0
lGzvd1mMbkk,2021-09-29,1
lGzvd1mMbkk,2021-09-30,1
lGzvd1mMbkk,2021-10-01,1
lGzvd1mMbkk,2021-10-02,0
lGzvd1mMbkk,2021-10-03,1
lGzvd1mMbkk,2021-10-04,1
lGzvd1mMbkk,2021-10-05,0
lGzvd1mMbkk,2021-10-06,0
lGzvd1mMbkk,2021-10-07,1
lGzvd1mMbkk,2021-10-08,1
lGzvd1mMbkk,2021-10-09,0
lGzvd1mMbkk,2021-10-10,0
lGzvd1mMbkk,2021-10-11,0
lGzvd1mMbkk,2021-10-12,1
lGzvd1mMbkk,2021-10-13,1
lGzvd1mMbkk,2021-10-14,2
lGzvd1mMbkk,2021-10-15,0
lGzvd1mMbkk,2021-10-16,0
lGzvd1mMbkk,2021-10-17,1
lGzvd1mMbkk,2021-10-18,0
lGzvd1mMbkk,2021-10-19,0
lGzvd1mMbkk,2021-10-20,0
lGzvd1mMbkk,2021-10-21,2
lGzvd1mMbkk,2021-10-22,1
lGzvd1mMbkk,2021-10-23,1
lGzvd1mMbkk,2021-10-24,0
lGzvd1mMbkk,2021-10-25,0
lGzvd1mMbkk,2021-10-26,1
lGzvd1mMbkk,2021-10-27,1
lGzvd1mMbkk,2021-10-28,2
lGzvd1mMbkk,2021-10-29,0
lGzvd1mMbkk,2021-10-30,0
lGzvd1mMbkk,2021-10-31,1
lGzvd1mMbkk,2021-11-01,3
lGzvd1mMbkk,2021-11-02,2
lGzvd1mMbkk,2021-11-03,0
lGzvd1mMbkk,2021-11-04,1
lGzvd1mMbkk,2021-11-05,0
lGzvd1mMbkk,2021-11-06,1
lGzvd1mMbkk,2021-11-07,0
lGzvd1mMbkk,2021-11-08,0
lGzvd1mMbkk,2021-11-09,0
lGzvd1mMbkk,2021-11-10,0
lGzvd1mMbkk,2021-11-11,0
lGzvd1mMbkk,2021-11-12,0
lGzvd1mMbkk,2021-11-13,1
lGzvd1mMbkk,2021-11-14,0
lGzvd1mMbkk,2021-11-15,0
lGzvd1mMbkk,2021-11-16,1
lGzvd1mMbkk,2021-11-17,2
lGzvd1mMbkk,2021-11-18,2
lGzvd1mMbkk,2021-11-19,0
lGzvd1mMbkk,2021-11-20,0
lGzvd1mMbkk,2021-11-21,1
lGzvd1mMbkk,2021-11-22,1
lGzvd1mMbkk,2021-11-23,1
lGzvd1mMbkk,2021-11-24,0
lGzvd1mMbkk,2021-11-25,1
lGzvd1mMbkk,2021-11-26,0
lGzvd1mMbkk,2021-11-27,0
lGzvd1mMbkk,2021-11-28,0
lGzvd1mMbkk,2021-11-29,1
lGzvd1mMbkk,2021-11-30,1
lGzvd1mMbkk,2021-12-01,0
lGzvd1mMbkk,2021-12-02,0
lGzvd1mMbkk,2021-12-03,1
lGzvd1mMbkk,2021-12-04,1
lGzvd1mMbkk,2021-12-05,1
lGzvd1mMbkk,2021-12-06,0
lGzvd1mMbkk,2021-12-07,0
lGzvd1mMbkk,2021-12-08,0
lGzvd1mMbkk,2021-12-09,0
lGzvd1mMbkk,2021-12-10,1
lGzvd1mMbkk,2021-12-11,-1
lGzvd1mMbkk,2021-12-12,0
lGzvd1mMbkk,2021-12-13,1
lGzvd1mMbkk,2021-12-14,1
lGzvd1mMbkk,2021-12-15,1
lGzvd1mMbkk,2021-12-16,0
lGzvd1mMbkk,2021-12-17,0
lGzvd1mMbkk,2021-12-18,1
lGzvd1mMbkk,2021-12-19,0
lGzvd1mMbkk,2021-12-20,1
lGzvd1mMbkk,2021-12-21,1
lGzvd1mMbkk,2021-12-22,0
lGzvd1mMbkk,2021-12-23,0
lGzvd1mMbkk,2021-12-24,0
lGzvd1mMbkk,2021-12-25,0
lGzvd1mMbkk,2021-12-26,1
lGzvd1mMbkk,2021-12-27,1
lGzvd1mMbkk,2021-12-28,2
lGzvd1mMbkk,2021-12-29,0
lGzvd1mMbkk,2021-12-30,0
lGzvd1mMbkk,2021-12-31,1
lGzvd1mMbkk,2022-01-01,0
lGzvd1mMbkk,2022-01-02,0
lGzvd1mMbkk,2022-01-03,1
lGzvd1mMbkk,2022-01-04,0
lGzvd1mMbkk,2022-01-05,1
lGzvd1mMbkk,2022-01-06,1
lGzvd1mMbkk,2022-01-07,1
lGzvd1mMbkk,2022-01-08,1
lGzvd1mMbkk,2022-01-09,0
lGzvd1mMbkk,2022-01-10,0
lGzvd1mMbkk,2022-01-11,0
lGzvd1mMbkk,2022-01-12,0
lGzvd1mMbkk,2022-01-13,2
lGzvd1mMbkk,2022-01-14,0
lGzvd1mMbkk,2022-01-15,0
lGzvd1mMbkk,2022-01-16,2
lGzvd1mMbkk,2022-01-17,0
lGzvd1mMbkk,2022-01-18,1
lGzvd1mMbkk,2022-01-19,0
lGzvd1mMbkk,2022-01-20,0
lGzvd1mMbkk,2022-01-21,0
lGzvd1mMbkk,2022-01-22,0
lGzvd1mMbkk,2022-01-23,0
lGzvd1mMbkk,2022-01-24,2
lGzvd1mMbkk,2022-01-25,0
lGzvd1mMbkk,2022-01-26,0
lGzvd1mMbkk,2022-01-27,0
lGzvd1mMbkk,2022-01-28,1
lGzvd1mMbkk,2022-01-29,0
lGzvd1mMbkk,2022-01-30,1
lGzvd1mMbkk,2022-01-31,1
lGzvd1mMbkk,2022-02-01,0
lGzvd1mMbkk,2022-02-02,1
lGzvd1mMbkk,2022-02-03,0
lGzvd1mMbkk,2022-02-04,0
lGzvd1mMbkk,2022-02-05,1
lGzvd1mMbkk,2022-02-06,1
lGzvd1mMbkk,2022-02-07,1
lGzvd1mMbkk,2022-02-08,1
lGzvd1mMbkk,2022-02-09,0
lGzvd1mMbkk,2022-02-10,0
lGzvd1mMbkk,2022-02-11,0
lGzvd1mMbkk,2022-02-12,0
lGzvd1mMbkk,2022-02-13,0
lGzvd1mMbkk,2022-02-14,0
lGzvd1mMbkk,2022-02-15,0
lGzvd1mMbkk,2022-02-16,1
lGzvd1mMbkk,2022-02-17,-1
lGzvd1mMbkk,2022-02-18,0
lGzvd1mMbkk,2022-02-19,0
lGzvd1mMbkk,2022-02-20,1
lGzvd1mMbkk,2022-02-21,0
lGzvd1mMbkk,2022-02-22,3
lGzvd1mMbkk,2022-02-23,0
lGzvd1mMbkk,2022-02-24,1
lGzvd1mMbkk,2022-02-25,0
lGzvd1mMbkk,2022-02-26,0
lGzvd1mMbkk,2022-02-27,0
lGzvd1mMbkk,2022-02-28,0
lGzvd1mMbkk,2022-03-01,1
lGzvd1mMbkk,2022-03-02,0
lGzvd1mMbkk,2022-03-03,1
lGzvd1mMbkk,2022-03-04,0
lGzvd1mMbkk,2022-03-05,0
lGzvd1mMbkk,2022-03-06,1
lGzvd1mMbkk,2022-03-07,1
lGzvd1mMbkk,2022-03-08,0
lGzvd1mMbkk,2022-03-09,0
lGzvd1mMbkk,2022-03-10,0
lGzvd1mMbkk,2022-03-11,0
lGzvd1mMbkk,2022-03-12,0
lGzvd1mMbkk,2022-03-13,0
lGzvd1mMbkk,2022-03-14,0
