day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-01-05,24189,3668,242,2750,10,2248,442,140,223077,34799,553,67.56,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12
2021-01-06,10154,1465,34,759,4,403,305,39,92274,14235,545,66.57,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5
2021-01-07,5639,792,26,319,2,181,158,16,50664,7720,539,65.82,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5
2021-01-08,4451,634,12,224,2,126,110,9,39969,5782,538,65.79,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
2021-01-09,8911,1268,28,475,3,304,98,28,81122,12339,546,66.69,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3
2021-01-10,17123,2156,41,865,6,628,135,47,148044,20275,518,63.34000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12
2021-01-11,13446,1615,44,562,6,403,143,47,113350,14700,505,61.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,96,10
2021-01-12,8424,1092,11,358,5,215,89,14,69372,9507,494,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5
2021-01-13,5746,659,10,195,3,167,97,14,45154,5697,471,57.57,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4
2021-01-14,4240,527,7,127,2,127,76,9,33818,4785,478,58.43000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3
2021-01-15,3416,388,8,119,0,95,63,4,27406,3251,481,58.78,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4
2021-01-16,2700,301,8,101,1,66,56,13,22621,2691,502,61.38,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-01-17,2434,286,5,78,1,68,47,6,19467,2637,479,58.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-01-18,2305,297,9,103,0,54,44,8,19638,2604,511,62.419999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2021-01-19,2234,288,5,86,1,55,42,11,18703,2658,502,61.34,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2021-01-20,2444,298,5,81,2,68,47,10,19701,2554,483,59.06,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-01-21,2330,277,8,73,2,47,41,8,19469,2598,501,61.22,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-01-22,2297,240,4,70,0,52,30,8,18195,2070,475,58.03,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
2021-01-23,2368,263,7,56,2,57,19,7,19031,2398,482,58.879999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
2021-01-24,2187,260,2,73,0,50,40,5,18040,2267,494,60.42999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
2021-01-25,2366,259,7,74,4,59,36,9,19401,2212,492,60.07,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2021-01-26,1936,236,3,61,0,51,29,3,15663,2076,485,59.27,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2021-01-27,1943,243,5,63,1,43,29,4,15658,2074,483,59.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2021-01-28,1280,139,1,35,1,20,22,7,10879,1253,509,62.27,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-01-29,1653,217,2,55,0,24,16,4,14024,2045,509,62.16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-01-30,1643,208,6,62,0,45,29,3,14479,2008,528,64.56,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2021-01-31,1788,237,4,62,0,39,30,7,15561,2215,522,63.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2021-02-01,1518,193,6,44,2,29,23,5,13147,1936,519,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-02-02,1108,156,1,43,0,18,19,1,9814,1538,531,64.89,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-02-03,1019,128,2,36,0,17,16,8,8980,1344,528,64.57,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
2021-02-04,914,110,3,30,0,22,22,0,8051,1138,528,64.54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-02-05,794,100,0,28,0,14,18,0,6859,1021,518,63.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2021-02-06,805,106,2,26,0,10,18,1,6636,975,494,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-02-07,812,98,0,19,0,17,21,1,7488,1083,553,67.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-02-08,755,98,3,17,0,9,13,1,6552,1034,520,63.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-02-09,685,101,0,23,0,10,10,0,5948,988,521,63.62,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2021-02-10,610,87,1,13,1,8,10,1,5328,836,524,63.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-02-11,466,58,0,15,0,9,3,0,4177,603,537,65.67,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-02-12,546,93,0,15,2,16,11,2,4724,823,519,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-02-13,523,59,1,10,0,6,14,1,4434,601,508,62.12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-02-14,623,66,3,15,0,4,11,0,5536,649,533,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-02-15,603,77,2,17,0,9,9,1,5136,783,511,62.41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-02-16,620,73,1,19,0,15,9,3,5302,756,513,62.64999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-02-17,618,108,4,18,-1,9,18,2,5572,1011,541,66.06,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-02-18,587,81,1,16,0,9,7,1,5468,868,558,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-02-19,653,78,0,16,0,9,8,0,5453,755,501,61.18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-02-20,720,99,3,17,0,8,8,2,6139,884,511,62.470000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-02-21,708,93,2,27,0,19,15,1,6351,899,538,65.72,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-02-22,669,79,0,18,0,17,11,0,5769,663,517,63.18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-02-23,657,78,1,18,0,5,5,1,5523,729,504,61.59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-02-24,541,76,0,10,0,10,12,1,4663,776,517,63.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-02-25,525,63,0,17,0,8,11,2,4587,503,524,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-02-26,559,71,0,16,0,9,11,2,4706,720,505,61.68,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-02-27,549,60,2,12,0,13,12,1,4750,494,519,63.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-02-28,593,84,0,8,0,13,6,3,5155,843,521,63.690000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-03-01,545,76,1,23,0,21,14,2,4595,809,505,61.78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-02,423,61,0,8,1,7,8,0,3784,584,536,65.54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-03,413,52,0,12,0,11,8,1,3534,495,513,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-04,437,56,1,18,0,9,6,0,3764,521,516,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-03-05,384,58,0,16,1,6,6,1,3262,544,509,62.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,369,69,0,7,1,7,3,0,3342,670,543,66.36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-07,437,62,0,13,0,10,8,2,3909,625,536,65.54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-08,414,66,0,13,0,6,7,0,3733,701,541,66.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-09,405,46,0,12,1,6,7,1,3465,463,513,62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-10,541,80,0,12,0,5,3,2,4865,800,539,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-11,493,67,4,11,0,11,10,3,3857,682,469,57.330000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-12,450,54,0,12,0,7,6,1,3868,517,515,62.97999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-13,434,54,0,16,0,6,6,0,3944,494,545,66.58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-14,450,50,0,14,0,14,8,4,3717,462,495,60.52000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-03-15,440,66,0,11,0,14,10,1,3991,620,544,66.45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-16,372,51,1,6,0,14,6,1,3122,523,503,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-17,363,40,1,9,0,8,8,2,2983,393,493,60.22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-03-18,331,34,0,4,0,7,3,0,2820,344,511,62.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-19,312,43,2,8,1,12,8,5,2569,486,494,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-03-20,294,30,1,15,0,3,8,0,2512,301,512,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-21,329,34,0,9,0,6,7,0,2875,338,524,64.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-22,244,37,0,11,0,4,6,2,2205,451,542,66.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-23,327,48,0,6,0,6,9,1,2819,463,517,63.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-24,381,69,0,11,0,12,3,0,3308,649,521,63.62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-25,396,63,0,16,0,2,8,0,3598,640,545,66.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-03-26,495,69,0,17,0,13,5,1,4194,717,508,62.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-27,596,65,1,19,0,13,6,0,4989,598,502,61.31999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-03-28,627,99,1,26,0,9,6,4,5417,935,518,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-03-29,456,62,0,23,0,11,11,3,3912,535,514,62.86999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-03-30,379,58,0,14,1,6,4,4,3459,584,547,66.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2021-03-31,420,51,1,18,1,9,3,2,3491,520,498,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-04-01,424,49,0,19,0,6,2,2,3628,382,513,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-04-02,395,52,1,11,1,11,8,2,3296,427,500,61.14000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-03,389,41,1,14,0,6,2,1,3268,410,504,61.55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-04-04,431,63,0,19,0,7,8,0,3826,558,532,65.04,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-05,403,40,0,11,0,10,6,2,3446,325,513,62.66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2021-04-06,356,51,0,12,0,8,2,5,3070,502,517,63.190000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-04-07,365,43,0,4,0,6,2,1,3219,380,529,64.62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-08,364,55,1,16,0,7,6,2,3167,535,522,63.74999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-04-09,308,44,0,13,0,4,7,1,2622,441,510,62.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-04-10,351,45,0,11,0,6,6,1,3174,424,542,66.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-04-11,427,52,1,9,0,9,4,1,3960,526,556,67.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-04-12,359,46,0,12,1,23,10,1,3231,464,540,65.95,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-04-13,472,59,1,16,2,23,9,2,3930,515,499,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-04-14,411,62,1,21,0,9,4,2,3636,565,530,64.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-04-15,613,96,1,20,0,23,12,1,5284,916,517,63.16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-04-16,553,72,0,18,-1,11,4,0,4654,710,504,61.65999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-17,550,69,1,22,0,8,6,1,4612,606,503,61.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-04-18,550,78,0,21,0,10,7,5,4747,776,517,63.24000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-04-19,545,77,0,14,0,5,2,1,4620,738,508,62.11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-20,1183,173,3,35,1,31,4,3,9839,1561,499,60.94,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-04-21,1750,226,8,61,0,40,9,1,13604,2108,466,56.95,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-04-22,1806,231,5,55,1,38,9,3,14404,2140,478,58.43000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-04-23,1781,245,4,66,1,46,7,5,14321,2004,482,58.91,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-04-24,2010,261,1,48,0,49,11,4,15973,2169,476,58.21999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-04-25,2009,253,2,63,0,60,17,3,16285,2354,486,59.39,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
2021-04-26,1658,196,5,58,0,46,11,3,13688,1839,495,60.480000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-04-27,1891,246,5,51,2,45,13,12,15716,2464,498,60.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-04-28,2135,260,5,57,0,58,11,10,17640,2491,495,60.53000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2021-04-29,2643,365,5,65,2,82,17,5,22152,3403,502,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2021-04-30,2976,430,8,85,1,96,23,8,24482,3929,493,60.27,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-05-01,3784,502,10,95,2,103,24,1,31637,4545,501,61.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2
2021-05-02,3576,515,12,90,0,111,25,7,29307,4615,491,60.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2021-05-03,3310,511,12,115,2,85,18,9,27296,4649,494,60.42000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2021-05-04,3634,520,11,113,4,123,30,12,30582,5003,504,61.64999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
2021-05-05,4984,698,8,137,1,98,28,10,43104,6603,518,63.35999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
2021-05-06,6849,863,18,173,2,172,37,6,57619,8118,504,61.63000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2
2021-05-07,8146,1137,27,175,3,189,23,24,67022,9950,493,60.28,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
2021-05-08,9303,1280,26,216,7,229,35,25,77774,11100,501,61.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2
2021-05-09,13456,1773,28,281,8,365,77,31,110693,15439,493,60.27,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2
2021-05-10,11772,1580,31,267,8,326,62,20,96083,14002,489,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,114,4
2021-05-11,9719,1275,39,192,4,285,65,28,78647,10554,485,59.28,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2
2021-05-12,11013,1661,24,228,5,281,68,26,93304,14918,508,62.07,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1
2021-05-13,8250,1187,18,169,5,232,64,18,67921,10252,493,60.309999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
2021-05-14,7887,1173,18,179,3,179,54,18,64997,9853,494,60.370000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
2021-05-15,8117,1197,21,197,5,216,54,20,67133,10105,496,60.589999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1
2021-05-16,8918,1247,11,189,2,218,61,26,74854,10560,503,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1
2021-05-17,8163,1222,20,186,4,195,62,17,68908,10670,506,61.84,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2
2021-05-18,9228,1335,33,210,3,207,47,17,76347,11170,496,60.61,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2
2021-05-19,11255,1467,17,257,5,310,70,25,93911,12552,500,61.13000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,116,3
2021-05-20,12050,1661,39,246,8,293,63,30,97360,14069,484,59.19,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2
2021-05-21,12403,1600,41,313,5,324,61,25,100510,13141,486,59.37,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2
2021-05-22,13586,1830,46,382,6,343,68,42,108420,14908,478,58.46,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0
2021-05-23,16880,2301,67,473,8,527,96,30,134364,19157,477,58.32000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,252,7
2021-05-24,14861,1967,49,431,10,528,98,42,116589,15897,470,57.48,0,0,0,0,0,0,0,0,0,0,0,0,0,187,6
2021-05-25,11483,1521,45,306,6,443,98,32,88226,12253,460,56.28999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2
2021-05-26,10619,1407,46,295,11,415,95,25,82635,11363,466,57.00999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2
2021-05-27,6251,852,15,202,3,249,62,27,48960,6914,469,57.379999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3
2021-05-28,5141,608,17,147,3,198,55,13,40442,5188,472,57.63,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2
2021-05-29,5526,671,22,188,2,186,52,15,43637,5266,473,57.85,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1
2021-05-30,5653,672,17,214,3,208,68,17,44687,5541,474,57.91,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
2021-05-31,4728,541,16,175,1,158,54,10,37369,4338,474,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2
2021-06-01,4150,507,15,127,2,154,57,12,32364,4215,467,57.13,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
2021-06-02,4617,568,21,158,1,210,47,18,35450,4476,460,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1
2021-06-03,4110,471,19,127,0,145,48,13,32104,3626,468,57.22999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1
2021-06-04,4239,464,15,149,2,148,39,7,32862,3729,465,56.79,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
2021-06-05,3975,443,23,138,2,148,42,12,30466,3413,459,56.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2
2021-06-06,4763,617,22,165,4,147,47,17,38272,5016,482,58.87,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
2021-06-07,3979,458,13,131,3,185,35,14,30139,3644,454,55.49000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
2021-06-08,4997,660,13,170,2,221,54,17,38967,5042,467,57.13,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2
2021-06-09,4360,546,18,144,2,177,32,13,32957,4368,453,55.38000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
2021-06-10,5229,654,28,163,2,216,47,15,39444,5054,452,55.26,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1
2021-06-11,4181,542,20,144,3,159,38,17,31549,4225,452,55.279999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
2021-06-12,4105,505,21,121,0,144,44,15,31261,3726,456,55.78999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
2021-06-13,4247,478,28,173,6,176,52,14,33155,3869,468,57.19,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1
2021-06-14,3152,393,15,96,3,126,50,6,24216,3103,460,56.279999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
2021-06-15,2484,329,12,86,1,94,39,7,17704,2402,427,52.22,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
2021-06-16,2226,321,6,84,1,97,38,16,16836,2619,453,55.40999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2021-06-17,1916,244,7,74,3,73,30,9,14571,1849,456,55.71,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
2021-06-18,1658,207,7,53,1,54,33,6,12377,1646,447,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-06-19,1618,225,10,53,0,44,25,4,12421,1923,460,56.24,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2021-06-20,1905,301,8,57,-1,67,29,5,15104,2451,475,58.09000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2021-06-21,1761,239,5,52,1,75,37,8,13476,1930,459,56.06,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-06-22,2275,285,13,64,0,69,18,4,17148,2412,452,55.22,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2021-06-23,2103,230,12,57,1,60,24,7,15832,1878,451,55.16,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-06-24,2282,306,11,54,3,66,27,10,17132,2469,450,55.00000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2021-06-25,1979,256,7,63,3,70,25,4,15008,1960,455,55.559999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2021-06-26,1881,243,10,48,3,75,16,12,13813,1989,440,53.79999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-06-27,1725,234,8,47,0,65,24,5,13322,1813,463,56.58,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2021-06-28,1554,218,9,47,0,55,27,8,11309,1805,436,53.32,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
2021-06-29,1855,227,7,52,0,51,24,6,13888,1836,449,54.85,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2021-06-30,1669,240,6,38,2,55,19,8,12325,1972,443,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2021-07-01,1809,240,10,55,1,50,22,7,13383,1820,443,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
2021-07-02,1815,240,6,51,0,40,25,3,13509,1947,446,54.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-07-03,1780,246,3,46,3,36,23,8,13456,2067,453,55.39000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
2021-07-04,2168,285,6,63,0,54,20,8,16262,2335,450,54.949999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2021-07-05,1851,298,6,43,3,61,25,3,14480,2560,469,57.31,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-07-06,1850,256,9,44,1,67,38,2,14438,2141,468,57.18,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2021-07-07,2018,268,4,43,1,61,31,6,15405,2268,458,55.93,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2021-07-08,2667,323,12,71,2,73,26,7,19849,2593,446,54.53,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3
2021-07-09,2974,422,13,74,4,87,27,6,22007,3268,444,54.21,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
2021-07-10,3054,457,8,72,2,82,24,9,22951,3601,450,55.059999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
2021-07-11,5802,835,17,142,2,184,20,21,42574,6518,440,53.76,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1
2021-07-12,9115,1312,41,223,7,335,43,26,64881,10096,427,52.15,0,0,0,0,0,0,0,0,0,0,0,0,0,113,5
2021-07-13,11806,1727,47,355,3,490,68,43,80755,12487,410,50.11,0,0,0,0,0,0,0,0,0,0,0,0,0,175,3
