day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-12-04,33879,2413,113,1887,18,1216,147,105,190517,14775,337,65.01,0,0,0,0,0,0,0,0,0,0,0,0,0,124,9
2019-12-05,75328,3942,149,2402,51,1679,385,169,370170,22495,294,56.81,0,0,0,0,0,0,0,0,0,0,0,0,0,374,10
2019-12-06,31826,1318,55,687,31,630,296,72,138895,7136,261,50.45,0,0,0,0,0,0,0,0,0,0,0,0,0,162,2
2019-12-07,10668,402,18,229,11,179,157,46,44053,2101,247,47.74,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2
2019-12-08,8875,408,14,231,11,155,110,31,40998,2292,277,53.410000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8
2019-12-09,7138,315,12,173,4,153,90,20,32975,1753,277,53.410000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2
2019-12-10,4620,222,5,122,4,72,71,13,21690,1185,281,54.28000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1
2019-12-11,3312,137,4,74,1,39,42,8,15449,754,279,53.93,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2019-12-12,2411,119,4,56,1,31,36,5,10986,557,273,52.68000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-12-13,1855,98,5,44,2,20,25,4,8642,564,279,53.86,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2019-12-14,1606,71,4,48,1,18,33,6,7950,422,297,57.22999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2019-12-15,1362,68,1,40,0,23,27,6,6848,449,301,58.13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-12-16,1197,81,1,30,1,19,27,7,6068,450,304,58.60999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-12-17,921,46,1,24,0,13,18,4,4611,258,300,57.879999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-12-18,1033,55,0,28,0,12,19,4,5184,300,301,58.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-12-19,1423,90,2,50,1,16,14,2,6940,540,292,56.38000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-12-20,1705,81,2,47,0,29,16,6,7999,476,281,54.24,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-12-21,1777,69,3,38,0,20,14,1,8128,400,274,52.88,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2019-12-22,1367,72,3,40,0,22,22,4,6292,434,276,53.21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2019-12-23,1192,42,1,33,1,14,20,5,5267,203,265,51.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-12-24,904,40,1,16,2,13,13,3,4319,221,286,55.24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-12-25,988,48,1,24,0,14,14,0,4961,261,301,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-12-26,1198,63,3,32,0,24,15,1,5958,342,298,57.49999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2019-12-27,1239,57,0,30,0,15,10,4,5829,317,282,54.400000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-12-28,1446,73,2,29,0,16,13,3,6746,375,279,53.94,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2019-12-29,1558,68,2,38,1,25,12,1,7251,409,279,53.81,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-12-30,1387,55,1,24,0,31,15,1,6475,320,280,53.97,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-12-31,1181,43,0,27,1,14,12,1,5615,252,285,54.97,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-01-01,1215,58,2,31,1,22,10,2,5445,331,268,51.81,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-01-02,1448,66,1,33,0,21,14,1,6420,361,266,51.25999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-03,1506,65,1,38,0,18,13,2,6851,346,272,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-01-04,1610,84,2,36,3,25,14,2,7149,458,266,51.34000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-01-05,1553,56,1,42,1,29,14,3,7246,362,279,53.94,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-01-06,1262,58,0,28,0,16,12,3,5789,365,275,53.03,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-01-07,1034,41,1,22,0,17,8,1,4804,235,278,53.72,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-01-08,1699,73,9,29,2,33,12,5,7910,400,279,53.82,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-01-09,1584,61,0,22,1,8,8,0,7004,355,265,51.12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-01-10,1388,56,0,26,0,16,15,2,6573,369,284,54.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-01-11,1877,73,3,25,0,19,13,4,9168,467,293,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2020-01-12,2506,90,4,40,1,25,14,2,11388,434,272,52.54,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2020-01-13,2026,72,4,25,1,27,14,5,9002,355,266,51.36999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-01-14,1537,61,2,27,0,22,13,2,6994,293,273,52.61,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-01-15,1017,35,2,24,1,13,11,4,4451,162,262,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-01-16,948,29,0,17,1,15,6,2,4180,192,264,50.97999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-17,781,27,0,17,0,6,6,2,3692,169,283,54.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,1060,47,0,18,0,17,8,2,4581,256,259,49.97,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-01-19,816,23,0,9,1,8,7,2,3473,120,255,49.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-20,714,27,0,11,0,6,9,2,3020,177,253,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-21,712,24,2,12,0,5,11,1,3094,139,260,50.24999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22,413,19,0,5,0,9,7,1,1805,141,262,50.529999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-23,405,22,1,8,0,2,3,1,1840,105,272,52.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-01-24,509,24,1,12,1,5,9,2,2422,139,285,55.03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-25,509,25,1,16,0,6,2,0,2451,184,288,55.669999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-26,371,22,1,5,0,3,12,0,1780,145,287,55.47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-27,472,30,0,14,0,11,8,3,2547,172,323,62.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-28,967,34,0,13,1,7,7,3,3994,219,247,47.76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-01-29,1586,30,1,10,0,7,1,1,5247,131,198,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-01-30,961,55,1,32,0,12,6,2,4677,301,292,56.269999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-01-31,721,24,0,11,0,7,8,2,3671,132,305,58.87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-02-01,784,37,0,21,2,9,1,5,4150,223,317,61.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-02,630,34,0,14,1,7,8,1,3165,228,301,58.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,730,29,0,21,1,11,7,0,3734,165,306,59.150000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-02-04,1176,60,1,24,0,10,6,4,6112,380,311,60.089999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-02-05,2704,134,0,82,0,25,9,6,13529,710,300,57.84,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2020-02-06,3928,164,3,78,1,59,9,10,18789,937,287,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2020-02-07,3259,121,4,66,2,44,20,0,15594,687,287,55.32,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2020-02-08,3184,140,1,58,1,48,13,1,15074,801,284,54.730000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2020-02-09,5079,193,9,92,3,76,24,9,22004,1085,259,50.09,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2020-02-10,4297,150,5,56,3,51,22,8,18606,869,259,50.06,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2020-02-11,2283,86,5,42,1,26,18,8,10412,485,273,52.73,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2020-02-12,2005,78,4,31,0,19,11,0,8855,434,264,51.06,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2020-02-13,2213,91,3,35,1,34,11,3,9381,474,254,49.01,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2020-02-14,2123,75,2,35,0,29,10,1,9341,459,263,50.86999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-02-15,1242,44,1,12,1,16,8,0,5759,233,278,53.61,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-02-16,1046,39,0,19,1,16,8,3,4830,205,277,53.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-02-17,1066,36,0,12,0,11,7,0,4802,208,270,52.07999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-02-18,710,26,2,11,0,7,9,1,3468,169,293,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-02-19,910,30,1,13,1,7,10,3,4089,184,269,51.95000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-20,906,31,0,13,0,5,6,2,4093,174,271,52.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-02-21,878,34,3,12,0,15,7,0,4031,192,275,53.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-22,917,28,0,7,1,19,16,1,4214,178,275,53.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-02-23,867,32,0,19,0,13,3,1,4177,187,289,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-02-24,766,32,0,6,0,8,9,0,3617,203,283,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-02-25,913,28,2,16,0,11,3,3,4462,178,293,56.50999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-02-26,1142,51,1,22,0,12,9,0,5133,257,269,51.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-02-27,1128,41,0,18,0,6,2,1,5427,223,288,55.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-02-28,1158,36,4,18,0,12,4,1,5374,216,278,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-29,1384,47,1,20,0,20,9,3,6487,260,281,54.18999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2020-03-01,1340,45,2,29,0,18,7,2,5863,262,262,50.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-03-02,1008,48,1,19,0,11,2,0,4659,240,277,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-03-03,1119,30,0,15,1,11,8,0,4626,159,248,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
2020-03-04,885,36,0,12,1,7,3,3,3907,225,264,51.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-05,933,33,0,11,0,12,9,2,4323,178,278,53.57999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-03-06,1440,49,1,26,0,13,3,4,6459,265,269,51.85999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-03-07,1228,52,2,11,0,16,6,2,5712,288,279,53.78000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-08,1021,43,0,14,0,8,9,0,4752,261,279,53.81,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-03-09,1158,43,1,20,0,10,4,0,5421,216,280,54.120000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-10,1052,40,0,18,0,8,2,2,4847,199,276,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-03-11,786,27,0,10,0,15,7,3,3826,169,292,56.28999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-03-12,701,26,2,9,0,6,12,0,3578,139,306,59.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-13,683,35,1,12,0,6,8,0,3345,172,293,56.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-03-14,1000,41,2,11,0,9,3,2,4856,259,291,56.15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-03-15,1184,54,1,26,0,6,5,0,6217,344,315,60.709999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-03-16,1175,48,2,12,0,17,9,2,5804,237,296,57.10999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-17,1174,44,1,14,1,9,5,2,5906,277,301,58.160000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-18,1063,35,1,14,0,11,8,6,5234,216,295,56.93,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-03-19,791,33,0,8,0,8,4,3,3629,202,275,53.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-20,889,49,1,5,1,13,8,1,4179,281,282,54.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-21,1069,45,3,21,0,8,4,3,5266,228,295,56.95,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-03-22,1026,52,1,17,0,20,7,0,4721,293,276,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-03-23,959,27,0,16,1,10,8,3,4426,164,276,53.36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-03-24,866,29,1,18,0,11,2,1,4106,175,284,54.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-25,661,17,0,7,0,6,5,1,3084,95,280,53.949999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-26,692,25,0,13,0,5,3,2,3247,159,281,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-27,676,16,0,10,1,9,4,2,2936,97,260,50.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,532,14,0,6,0,0,2,1,2252,108,254,48.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-29,448,20,1,5,0,10,3,2,2227,118,298,57.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-30,416,9,0,8,0,6,0,1,1891,49,272,52.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-31,549,20,0,9,1,8,8,0,2360,130,258,49.72,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-01,462,9,0,6,0,6,3,1,1842,54,239,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,551,22,0,10,1,15,2,3,2609,128,284,54.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-04-03,430,11,1,4,0,0,2,1,1964,67,274,52.82,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-04,507,12,0,8,1,5,3,0,2292,84,271,52.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-04-05,457,13,0,1,1,4,4,1,2131,99,279,53.90999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-06,739,28,0,11,0,8,2,4,3164,195,256,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-07,420,9,0,2,0,8,3,2,1995,67,285,54.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,435,15,0,9,0,6,3,0,1930,64,266,51.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-09,515,22,0,9,0,5,3,2,2388,119,278,53.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-10,800,28,0,9,0,7,2,1,3672,159,275,53.06999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-04-11,1087,25,0,12,0,15,4,2,5231,148,288,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-12,977,24,0,14,0,16,7,1,4359,135,267,51.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-13,1106,35,0,12,0,15,6,2,5007,202,271,52.34000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-04-14,1177,51,2,20,1,15,7,1,5440,278,277,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-04-15,1002,24,2,14,0,5,2,1,4545,142,272,52.45000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-04-16,970,25,0,10,1,8,2,1,4453,160,275,53.06999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-04-17,1097,28,0,8,0,8,3,1,5262,154,287,55.46,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-04-18,1164,42,3,17,0,7,9,1,5224,292,269,51.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-19,1083,37,1,15,0,13,8,2,4834,181,267,51.61,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-04-20,978,40,0,22,2,20,7,4,4540,248,278,53.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2020-04-21,877,38,0,14,0,14,6,0,4020,239,275,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-22,742,31,0,17,0,9,2,0,3591,150,290,55.96,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-04-23,635,18,0,11,1,6,1,1,2863,96,270,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-04-24,481,14,0,9,0,5,6,2,2428,79,302,58.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,464,11,0,4,0,2,7,1,2291,62,296,57.08,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-04-26,540,24,0,6,-1,3,7,2,2613,121,290,55.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-04-27,401,15,1,2,0,7,5,1,1938,98,290,55.89999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-04-28,473,19,2,4,0,7,6,3,2298,103,291,56.169999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-29,492,8,0,7,0,3,2,0,2399,56,292,56.38999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-30,602,15,0,11,0,4,1,2,3048,99,303,58.540000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,663,25,0,13,0,4,4,0,3215,135,290,56.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-02,969,43,1,7,0,11,6,1,4677,233,289,55.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-03,1134,35,1,18,0,14,3,3,5286,176,279,53.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-05-04,1066,26,0,11,1,5,7,0,4953,151,278,53.72,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-05,1030,36,2,13,0,6,3,1,4544,187,264,51.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-05-06,1081,27,1,21,1,18,6,2,4922,160,273,52.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-07,1247,34,3,13,0,9,1,2,5976,176,287,55.40999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-08,1122,36,0,11,0,15,4,5,5270,218,281,54.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-09,1604,88,0,26,0,25,12,5,7925,511,296,57.11999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-05-10,1743,54,1,24,1,18,9,2,8263,302,284,54.81,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2020-05-11,1867,62,1,22,1,20,6,2,9025,318,290,55.88999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-05-12,955,31,0,10,0,16,7,0,4443,148,279,53.790000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-05-13,1039,36,2,12,0,4,4,1,4928,230,284,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-05-14,1316,23,0,13,1,7,3,2,6389,136,291,56.13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-15,1639,51,2,13,0,13,3,2,7377,279,270,52.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-05-16,1608,56,0,19,1,10,6,2,7694,295,287,55.32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2020-05-17,1048,35,1,11,0,7,6,1,5118,195,293,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-18,870,38,0,9,0,11,6,0,4442,259,306,59.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-19,584,19,0,6,0,6,3,1,2825,115,290,55.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-20,563,19,0,8,1,2,4,1,2861,100,304,58.76,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-05-21,618,25,2,10,1,5,8,0,3058,139,296,57.220000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-22,538,17,0,8,0,8,2,4,2548,83,284,54.77000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-05-23,401,20,0,5,0,2,7,1,2033,129,304,58.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,413,18,1,6,0,7,5,0,1997,105,290,55.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-25,387,22,0,8,1,1,3,0,1840,142,285,54.98,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-05-26,430,22,0,8,0,3,3,0,2243,144,313,60.31999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-27,416,22,0,5,1,7,3,0,1832,113,264,50.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-28,302,17,0,6,0,0,5,1,1400,100,278,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-29,249,11,0,6,0,5,4,0,1158,73,279,53.77000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-05-30,159,5,0,4,0,2,3,2,780,27,294,56.769999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,156,7,0,2,0,2,0,0,816,43,314,60.51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-01,173,5,0,5,0,1,6,0,928,36,321,62.029999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-02,325,32,0,8,0,5,0,1,1833,183,338,65.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-06-03,229,16,0,7,0,1,2,0,1341,113,351,67.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-04,225,22,0,6,1,4,3,1,1226,143,327,63.019999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-05,179,16,0,5,0,4,2,1,955,86,320,61.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-06,208,18,0,6,0,1,4,0,1080,85,311,60.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-07,217,7,0,4,1,1,3,0,1164,48,322,62.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-08,172,18,0,3,0,4,3,3,952,94,332,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,236,17,0,2,0,2,5,0,1283,120,326,62.86000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,203,4,0,4,0,0,1,0,1115,30,329,63.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,200,10,0,5,0,1,0,0,1084,68,325,62.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-12,170,9,1,5,0,2,2,1,922,51,325,62.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,187,7,0,4,0,8,4,0,987,37,316,61.03000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-14,252,14,0,7,0,3,1,1,1401,83,333,64.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-15,234,10,0,8,0,3,2,1,1306,57,334,64.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-16,252,15,0,8,0,3,2,1,1266,105,301,58.09000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-17,259,16,0,6,0,2,4,0,1517,102,351,67.73,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-06-18,204,15,0,1,0,2,2,1,1157,93,340,65.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-19,233,16,0,3,0,1,2,1,1265,110,325,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,220,9,0,5,0,2,1,0,1269,50,346,66.72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-06-21,278,17,0,8,0,5,2,1,1607,91,347,66.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-06-22,300,21,1,4,0,2,1,0,1612,130,322,62.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-23,247,9,0,1,0,1,1,0,1343,35,326,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,295,18,0,10,0,2,2,0,1751,89,356,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,266,8,2,6,1,3,3,0,1513,48,341,65.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-26,337,11,0,5,0,3,3,2,1804,64,321,61.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-27,530,23,0,9,0,2,2,1,3140,143,355,68.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,756,26,1,14,0,3,3,0,3720,171,295,56.89999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-06-29,894,35,0,15,1,11,3,1,4100,212,275,53.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
